ES,System,Pollutant,CAS,Chemical.groups,Concentration,Units,Limit,Date,Reference,Notes
aquatic,,Cyanazine,,Pesticide,2,ug/L,upper,1990,,
aquatic,,Deltamethrin,,Pesticide,0.0004,ug/L,upper,1997,,
aquatic,,Di(2-ethylhexyl) phthalate,,Organic chemical,16,ug/L,upper,1993,,
aquatic,,Di-n-butyl phthalate,,Organic chemical,19,ug/L,upper,1993,,
aquatic,,Dicamba,,Pesticide,10,ug/L,upper,1993,,
aquatic,,Dichloromethane,,Organic chemical,98.1,ug/L,upper,1992,,
aquatic,,Dichlorophenols,,Organic chemical,0.2,ug/L,upper,1987,,
aquatic,,Diclofop-methyl,,Pesticide,6.1,ug/L,upper,1993,,
aquatic,,Didecyl dimethyl ammonium chloride,,Pesticide,1.5,ug/L,upper,1999,,
aquatic,,Diisopropanolamine,,Organic chemical,1600,ug/L,upper,2005,,
aquatic,,Dimethoate,,Pesticide,6.2,ug/L,upper,1993,,
aquatic,,Dinoseb,,Pesticide,0.05,ug/L,upper,1992,,
aquatic,,Dissolved oxygen,,Inorganic chemical,<U+00A0>5500,ug/L,upper,1999,,"minimum, variable"
aquatic,,Endosulfan,,Pesticide,0.003,ug/L,upper,2010,,
aquatic,,Ethylbenzene,,Organic chemical,90,ug/L,upper,1996,,
aquatic,,Ethylene glycol,,Organic chemical,192000,ug/L,upper,1997,,
aquatic,,Fluoranthene,,Organic chemical,0.04,ug/L,upper,1999,,
aquatic,,Fluorene,,Organic chemical,3,ug/L,upper,1999,,
aquatic,,Fluoride ,,Inorganic chemical,120,ug/L,upper,2002,,
aquatic,,Glyphosate,,Pesticide,800,ug/L,upper,2012,,
aquatic,,Hexachlorobutadiene,,Organic chemical,1.3,ug/L,upper,1999,,
aquatic,,Lindane,,Pesticide,0.01,ug/L,upper,1987,,
aquatic,,Imidacloprid,,Pesticide,0.23,ug/L,upper,2007,,
aquatic,,Linuron,,Pesticide,7,ug/L,upper,1995,,
aquatic,,Mercury,,Metal,0.026,ug/L,upper,2003,,
aquatic,,Methoprene,,Pesticide,0.09,ug/L,upper,2007,,
aquatic,,Methyl tertiary-butyl ether<U+00A0>,,Organic chemical,10000,ug/L,upper,2003,,
aquatic,,Methylchlorophenoxyacetic acid (4-Chloro-2-methyl phenoxy acetic acid; 2-Methyl-4-chloro phenoxy acetic acid),,Pesticide,2.6,ug/L,upper,1995,,
aquatic,,Methylmercury,,Organic chemical,0.004,ug/L,upper,2003,,
aquatic,,Metolachlor,,Pesticide,7.8,ug/L,upper,1991,,
aquatic,,Metribuzin,,Pesticide,1,ug/L,upper,1990,,
aquatic,,Monochlorobenzene,,Organic chemical,1.3,ug/L,upper,1997,,
aquatic,,Monochlorophenols,,Organic chemical,7,ug/L,upper,1987,,
aquatic,,Naphthalene,,Organic chemical,1.1,ug/L,upper,1999,,
aquatic,,Nitrite,,Inorganic chemical,11820,ug/L,upper,1987,,60 NO2-N
aquatic,,Nonylphenol and its ethoxylates,,Organic chemical,1,ug/L,upper,2002,,
aquatic,,Pentachlorobenzene,,Organic chemical,6,ug/L,upper,1997,,
aquatic,,Pentachlorophenol,,Organic chemical,0.5,ug/L,upper,1987,,
aquatic,,Permethrin,,Pesticide,0.004,ug/L,upper,2006,,
aquatic,,Phenanthrene,,Organic chemical,0.4,ug/L,upper,1999,,
aquatic,,Phenols (mono-& dihydric),,Organic chemical,4,ug/L,upper,1999,,
aquatic,,Phenoxy herbicides,,Pesticide,4,ug/L,upper,1987,,
aquatic,,Picloram,,Pesticide,29,ug/L,upper,1990,,
aquatic,,Propylene glycol,,Organic chemical,500000,ug/L,upper,1997,,
aquatic,,Pyrene,,Organic chemical,0.025,ug/L,upper,1999,,
aquatic,,pH,,pH,6.5,ug/L,lower,1987,,
aquatic,,pH,,pH,9,ug/L,upper,1987,,
aquatic,,Quinoline,,Organic chemical,3.4,,upper,1999,,
aquatic,,Reactive Chlorine Species,,Inorganic chemical,0.5,,upper,1999,,
aquatic,,Selenium,,Metal,1,,upper,1987,,
aquatic,,Silver,,Metal,0.25,,upper,2015,,
aquatic,,Simazine,,Pesticide,10,,upper,1991,,
aquatic,,Styrene,,Organic chemical,72,,upper,1999,,
aquatic,,Sulfolane,,Organic chemical,50000,,upper,2005,,
aquatic,,Tebuthiuron,,Pesticide,1.6,,upper,1995,,
aquatic,,Tetrachloromethane,,Organic chemical,13.3,,upper,1992,,
aquatic,,Tetrachlorophenols,,Organic chemical,1,,upper,1987,,
aquatic,,Thallium,,Metal,0.8,,upper,1999,,
aquatic,,Toluene,,Organic chemical,2,,upper,1996,,
aquatic,,Triallate,,Pesticide,0.24,,upper,1992,,
aquatic,,Tributyltin,,Organic chemical,0.0008,,upper,1992,,
aquatic,,Trichlorfon,,Pesticide,0.009,,upper,1992,,
aquatic,,Trichloromethane,,Organic chemical,1.8,,upper,1992,,
aquatic,,Trichlorophenols,,Organic chemical,18,,upper,1987,,
aquatic,,Trifluralin,,Pesticide,0.2,,upper,1993,,
aquatic,,Triphenyltin,,Organic chemical,0.022,,upper,1992,,
recreational,,E.coli,,Biological,400,per 100 mL ,upper,NA,,Swimming: Single-sample maximum concentration
recreational,,Cyanobacteria,,Biological,100000,cells/mL,upper,NA,,
recreational,,microcystin,,Biological,20,ug/L,upper,NA,,Swimming
recreational,,ph,,pH,5,,upper,NA,CCME,Chemical group?
recreational,,ph,,pH,9,,lower,NA,,Chemical group?
oligotrophic,,tp,,Nutrients,25,ug/L,upper,1998,Dodds et al. 1998,river
mesotrophic,,tp,,Nutrients,75,ug/L,upper,1998,Dodds et al. 1998,river
mesotrophic,,tp,,Nutrients,25,ug/L,lower,1998,Dodds et al. 1998,river
eutrophic,,tp,,Nutrients,75,ug/L,lower,1998,Dodds et al. 1998,river
oligotrophic,,tn,,Nutrients,700,ug/L,upper,1998,Dodds et al. 1998,river
mesotrophic,,tn,,Nutrients,1500,ug/L,upper,1998,Dodds et al. 1998,river
mesotrophic,,tn,,Nutrients,700,ug/L,lower,1998,Dodds et al. 1998,river
oligotrophic,,chlorophyll ,,Biological,10,ug/L,upper,1998,Dodds et al. 1998,river
mesotrophic,,suspended chlorophyll,,Biological,30,ug/L,upper,1998,Dodds et al. 1998,river
eutrophic,,tn,,Nutrients,1500,ug/L,lower,1998,Dodds et al. 1998,river
